name,url,duration,test_type,remote_support,adaptive_support,combined_text
Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/manager-7-0-solution/,0,[],No,No,Manager 7.0 Solution []
Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-%28americas%29/,0,[],No,No,Manager 7.1 (Americas) []
Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-solution/,0,[],No,No,Manager 7.1 (International) []
Manager 8.0 JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa/,0,[],No,No,Manager 8.0 JFA []
Manager 8.0+ JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310/,0,[],No,No,Manager 8.0+ JFA []
Manufacturing Production Team Member,https://www.shl.com/products/product-catalog/view/manufacturing-production-team-member/,0,[],No,No,Manufacturing Production Team Member []
Manufacturing Skilled Maintenance Worker,https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,0,[],No,No,Manufacturing Skilled Maintenance Worker []
Network Engineer/Analyst Solution,https://www.shl.com/products/product-catalog/view/network-engineeranalyst-solution/,0,[],No,No,Network Engineer/Analyst Solution []
Nurse Leader Solution,https://www.shl.com/products/product-catalog/view/nurse-leader-solution/,0,[],No,No,Nurse Leader Solution []
Nurse Solution,https://www.shl.com/products/product-catalog/view/nurse-solution/,0,[],No,No,Nurse Solution []
Nursing Assistant Solution,https://www.shl.com/products/product-catalog/view/nursing-assistant-solution/,0,[],No,No,Nursing Assistant Solution []
Personal Banker - Short Form,https://www.shl.com/products/product-catalog/view/personal-banker-short-form/,0,[],No,No,Personal Banker - Short Form []
Phone Banker - Short Form,https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,0,[],No,No,Phone Banker - Short Form []
Prep/Line Cook Solution,https://www.shl.com/products/product-catalog/view/prepline-cook-solution/,0,[],No,No,Prep/Line Cook Solution []
Professional + 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/,0,[],No,No,Professional + 7.0 Solution []
Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,0,[],No,No,Professional + 7.1 (Americas) []
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,0,[],No,No,Professional + 7.1 (International) []
Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,0,[],No,No,Professional 7.0 Solution []
Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,0,[],No,No,Professional 7.1 (International) []
Professional 8.0 JFA,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,0,[],No,No,Professional 8.0 JFA []
Professional/Individual Contributor - Short Form,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,0,[],No,No,Professional/Individual Contributor - Short Form []
Project Manager - Short Form,https://www.shl.com/products/product-catalog/view/project-manager-short-form/,0,[],No,No,Project Manager - Short Form []
Nursing Assistant Solution,https://www.shl.com/products/product-catalog/view/nursing-assistant-solution/,0,[],No,No,Nursing Assistant Solution []
Personal Banker - Short Form,https://www.shl.com/products/product-catalog/view/personal-banker-short-form/,0,[],No,No,Personal Banker - Short Form []
Phone Banker - Short Form,https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,0,[],No,No,Phone Banker - Short Form []
Prep/Line Cook Solution,https://www.shl.com/products/product-catalog/view/prepline-cook-solution/,0,[],No,No,Prep/Line Cook Solution []
Professional + 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/,0,[],No,No,Professional + 7.0 Solution []
Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,0,[],No,No,Professional + 7.1 (Americas) []
