name,url,duration,test_type,remote_support,adaptive_support,combined_text
Gaming Manager Solution,https://www.shl.com/products/product-catalog/view/gaming-manager-solution/,0,[],No,No,Gaming Manager Solution []
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,0,[],No,No,Apprentice 8.0 Job Focused Assessment []
Sales Supervisor Solution,https://www.shl.com/products/product-catalog/view/sales-supervisor-solution/,0,[],No,No,Sales Supervisor Solution []
Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/manager-7-0-solution/,0,[],No,No,Manager 7.0 Solution []
Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,0,[],No,No,Professional + 7.1 (Americas) []
Insurance Sales Manager Solution,https://www.shl.com/products/product-catalog/view/insurance-sales-manager-solution/,0,[],No,No,Insurance Sales Manager Solution []
Manufacturing Skilled Maintenance Worker,https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,0,[],No,No,Manufacturing Skilled Maintenance Worker []
Manager 8.0+ JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310/,0,[],No,No,Manager 8.0+ JFA []
Personal Banker - Short Form,https://www.shl.com/products/product-catalog/view/personal-banker-short-form/,0,[],No,No,Personal Banker - Short Form []
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,0,[],No,No,Apprentice + 8.0 Job Focused Assessment []
Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,0,[],No,No,Professional 7.0 Solution []
Nurse Solution,https://www.shl.com/products/product-catalog/view/nurse-solution/,0,[],No,No,Nurse Solution []
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,0,[],No,No,Apprentice + 8.0 Job Focused Assessment []
Gaming Associate Solution,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/,0,[],No,No,Gaming Associate Solution []
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,0,[],No,No,Branch Manager - Short Form []
Sales Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/sales-professional-7-0-solution/,0,[],No,No,Sales Professional 7.0 Solution []
Technical Sales Associate Solution,https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution/,0,[],No,No,Technical Sales Associate Solution []
Service Associate Solution,https://www.shl.com/products/product-catalog/view/service-associate-solution/,0,[],No,No,Service Associate Solution []
